"gene","module_name"
"C1QA","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C1QB","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C1QC","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C1R","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C1S","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C2","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C4A","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C4B","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C4BPA","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"C4BPB","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CD46","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CD81","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CFB","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CFH","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CFHR1","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CFI","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CR1","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CR2","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CRP","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CSMD2","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"CSMD3","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
